"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 03 20:16:11 UTC 2025","Wed Dec 03 20:16:14 UTC 2025","3259","Google Chrome","search.spec.ts","","","","validate search test imac",""
"passed","Wed Dec 03 20:15:59 UTC 2025","Wed Dec 03 20:16:04 UTC 2025","4389","Google Chrome","register.spec.ts","","","","@register verify user is able to register Charlie",""
"passed","Wed Dec 03 20:15:36 UTC 2025","Wed Dec 03 20:15:41 UTC 2025","4958","Google Chrome","productinfo.spec.ts","","","","verify info of the product and its images MacBook Air : 4",""
"passed","Wed Dec 03 20:15:55 UTC 2025","Wed Dec 03 20:15:59 UTC 2025","4435","Google Chrome","register.spec.ts","","","","@register verify user is able to register Bob",""
"passed","Wed Dec 03 20:15:31 UTC 2025","Wed Dec 03 20:15:36 UTC 2025","4882","Google Chrome","productinfo.spec.ts","","","","verify info of the product and its images MacBook Pro : 4",""
"passed","Wed Dec 03 20:16:04 UTC 2025","Wed Dec 03 20:16:07 UTC 2025","3437","Google Chrome","search.spec.ts","","","","validate search test macbook",""
"passed","Wed Dec 03 20:15:28 UTC 2025","Wed Dec 03 20:15:31 UTC 2025","2810","Google Chrome","login.spec.ts","","","","verify invalid login",""
"passed","Wed Dec 03 20:15:46 UTC 2025","Wed Dec 03 20:15:50 UTC 2025","4661","Google Chrome","productinfo.spec.ts","","","","verify product MetaData",""
"passed","Wed Dec 03 20:15:41 UTC 2025","Wed Dec 03 20:15:46 UTC 2025","4831","Google Chrome","productinfo.spec.ts","","","","verify info of the product and its images Samsung Galaxy Tab 10.1 : 7",""
"passed","Wed Dec 03 20:16:07 UTC 2025","Wed Dec 03 20:16:11 UTC 2025","3539","Google Chrome","search.spec.ts","","","","validate search test samsung",""
"passed","Wed Dec 03 20:15:18 UTC 2025","Wed Dec 03 20:15:23 UTC 2025","5035","Google Chrome","login.spec.ts","","","","verify valid login @sanity",""
"passed","Wed Dec 03 20:16:14 UTC 2025","Wed Dec 03 20:16:17 UTC 2025","3231","Google Chrome","search.spec.ts","","","","validate search test Dummy",""
"passed","Wed Dec 03 20:15:50 UTC 2025","Wed Dec 03 20:15:55 UTC 2025","4437","Google Chrome","register.spec.ts","","","","@register verify user is able to register Alice",""
